module,group,parameter,label,symbol,description,units,default,source
aed_organic_matter,INITIALISATION,poc_initial,Initial POC concentration,POC_{t=0},Initial POC concentration,mmolC/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,doc_initial,Initial DOC concentration,DOC_{t=0},Initial DOC concentration,mmolC/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,pon_initial,Initial PON concentration,PON_{t=0},Initial PON concentration,mmolN/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,don_initial,Initial DON concentration,DON_{t=0},Initial DON concentration,mmolN/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,pop_initial,Initial POP concentration,POP_{t=0},Initial POP concentration,mmolP/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,dop_initial,Initial DOP concentration,DOP_{t=0},Initial DOP concentration,mmolP/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,INITIALISATION,cpom_initial,Initial CPOM concentration,CPOM_{t=0},Initial CPOM concentration,mmolC/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Rpoc_hydrol,POC hydrolysis rate,R_{POChydrl},Reference POC hydrolysis/breakdown rate @ 20°C,/d,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Rpon_hydrol,PON hydrolysis rate,R_{PONhydrl},Reference PON hydrolysis/breakdown rate @ 20°C,/d,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Rpop_hydrol,POP hydrolysis rate,R_{POPhydrl},Reference POP hydrolysis/breakdown rate @ 20°C,/d,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,theta_hydrol,Hydrolysis temperature scaling,theta_{hydrl},Arrhenius temperature scaling coefficient for POC hydrolysis,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Kpom_hydrol,POM hydrolysis O2 half-saturation,K_{oxyhydrl},Half-saturation O2 concentration for POM hydrolysis,mmolO2/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Rdom_minerl,DOM mineralisation rate,R_{DOMminerl},Reference DOM mineralisation rate @ 20°C,/d,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,theta_minerl,Mineralisation temperature scaling,theta_{minerl},Arrhenius temperature scaling coefficient for DOM mineralisation,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,Kdom_minerl,DOM mineralisation O2 half-saturation,K_{oxyminerl},Half-saturation O2 concentration for DOM mineralisation,mmolO2/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,simDenitrification,Denitrification model option,Theta_{denitnit},Option to select denitrification sub-model,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,f_an,Anaerobic mineralisation fraction,f_{an},Mineralisation scaling fraction under anaerobic conditions,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,K_nit,Denitrification NO3 half-saturation,K_{nitdenit},Half-saturation NO3 concentration for denitrification,mmolN/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_oxy_reactant_var,Aerobic mineralisation O2 link,O2,State variable used to control aerobic mineralisation,-,OXY_oxy,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_nit_reactant_var,Denitrification NO3 link,NO3,State variable used to control nitrate reduction,-,NIT_nit,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_no2_reactant_var,Denitrification NO2 link,NO2,State variable used to control nitrite reduction,-,NIT_no2,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_n2o_reactant_var,N2O reduction link,N2O,State variable used to control N2O reduction,-,NIT_n2o,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_fe3_reactant_var,Iron reduction link,FeIII,State variable used to control iron reduction,-,GEO_feiii,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_so4_reactant_var,Sulfate reduction link,SO4,State variable used to control sulfate reduction,-,GEO_so4,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,dom_miner_ch4_reactant_var,Methane production link,CH4,State variable to receive methane,-,CAR_ch4,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
aed_organic_matter,BREAKDOWN AND MINERALISATION,doc_miner_product_variable,DIC production link,DIC,State variable to receive DIC,-,CAR_dic,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_organic_matter
