module,group,parameter,label,symbol,description,units,default,source
aed_phytoplankton,GENERAL,p_name,Group name,,Name of phytoplankton group,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GENERAL,p_initial,Initial concentration,,Initial concentration of phytoplankton,mmol C/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GENERAL,p0,Minimum concentration,,Minimum concentration of phytoplankton,mmol C/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,SETTLING,w_p,Sedimentation rate,w_p,Sedimentation rate,m/d,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GENERAL,Xcc,Carbon to chlorophyll ratio,X_{cc},Carbon to chlorophyll ratio,mg C/mg chla,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,R_growth,Max growth rate,R_{growth},Phyto max growth rate @20C,/day,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,fT_Method,Temperature limitation method,,"Specifies temperature limitation function of growth (0 = no limitation, 1 = CAEDYM style)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,theta_growth,Growth temperature scaling,theta_{growth},Arrhenius temperature scaling for growth function,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,T_std,Standard temperature,T_{std},Standard temperature,deg C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,T_opt,Optimum temperature,T_{opt},Optimum temperature,deg C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,GROWTH,T_max,Maximum temperature,T_{max},Maximum temperature,deg C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,LIGHT,lightModel,Light model,,"Type of light response function (0 = no photoinhibition, 1 = photoinhibition)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,LIGHT,I_K,Light half-saturation constant,I_K,Half saturation constant for light limitation of growth (used if lightModel=0),microE/m2/s,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,LIGHT,I_S,Saturating light intensity,I_S,Saturating light intensity (used if lightModel=1),microE/m2/s,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,LIGHT,KePHY,Specific attenuation coefficient,Ke_{PHY},Specific attenuation coefficient,(mmol C m3-1)-1 m-1,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,RESPIRATION,f_pr,Exudation fraction,f_{pr},Fraction of primary production lost to exudation,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,RESPIRATION,R_resp,Respiration rate,R_{resp},Phytoplankton respiration/metabolic loss rate @20 degC,/day,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,RESPIRATION,theta_resp,Respiration temperature scaling,theta_{resp},Arrhenius temperature scaling factor for respiration,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,RESPIRATION,k_fres,Respiration fraction,k_{fres},Fraction of metabolic loss that is true respiration,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,RESPIRATION,k_fdom,DOM fraction,k_{fdom},Fraction of metabolic loss that is DOM,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,SALINITY,salTol,Salinity tolerance function,,Type of salinity limitation function,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,SALINITY,S_bep,Salinity limitation at S_maxsp,S_{bep},Salinity limitation value at maximum salinity S_maxsp,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,SALINITY,S_maxsp,Maximum salinity,S_{maxsp},Maximum salinity,g/kg,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,SALINITY,S_opt,Optimal salinity,S_{opt},Optimal salinity,g/kg,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,simDINUptake,Simulate DIN uptake,,"Simulate DIN uptake (0 = false, 1 = true)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,simDONUptake,Simulate DON uptake,,"Simulate DON uptake (0 = false, 1 = true)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,simNFixation,Simulate N fixation,,"Simulate N fixation (0 = false, 1 = true)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,simINDynamics,Internal N dynamics,,"Simulate internal N (0 = assumed fixed C:N, 2 = dynamic C:N)",-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,N_o,N uptake threshold,,Nitrogen concentration below which uptake is 0,mmol N/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,K_N,N half-saturation constant,K_N,Half-saturation concentration of nitrogen,mmol N/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,X_ncon,Constant internal N,X_{ncon},Constant internal nitrogen concentration (used if simINDynamics = 0 or 1),mmol N/mmol C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,X_nmin,Minimum internal N,X_{nmin},Minimum internal nitrogen concentration (used if simINDynamics = 2),mmol N/mmol C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
aed_phytoplankton,NITROGEN,X_nmax,Maximum internal N,X_{nmax},Maximum internal nitrogen concentration (used if simINDynamics = 2),mmol N/mmol C,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_phytoplankton
