module,group,parameter,label,symbol,description,units,default,source
aed_zooplankton,GENERAL,zoop_name,Group name,,Name of zooplankton group,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GENERAL,zoop_initial,Initial concentration,,Initial concentration of zooplankton,mmol/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GENERAL,min_zoo,Minimum concentration,,Minimum concentration of zooplankton,mmol/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GRAZING,Rgrz_zoo,Grazing rate,R_{grz},Zooplankton grazing rate,/day,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GRAZING,fassim_zoo,Assimilation efficiency,,Assimilation efficiency for zooplankton grazing,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GRAZING,Kgrz_zoo,Grazing half-saturation constant,K_{grz},Half saturation constant for zooplankton grazing,mmol/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GRAZING,theta_grz_zoo,Grazing temperature multiplier,,Temperature multiplier for zooplankton grazing,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,GRAZING,Cmin_grz_zoo,Minimum prey concentration,,Minimum prey concentration for grazing by zooplankton,mmol/m3,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,RESPIRATION,Rresp_zoo,Respiration rate,R_{resp},Respiration rate coefficient,/day,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,RESPIRATION,theta_resp_zoo,Respiration temperature multiplier,,Temperature multiplier for zooplankton respiration,-,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,RESPIRATION,Tstd_zoo,Standard temperature,,Standard temperature for zooplankton respiration temperature dependence,oC,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,RESPIRATION,Topt_zoo,Optimal temperature,,Optimal temperature for zooplankton temperature dependence,oC,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
aed_zooplankton,RESPIRATION,Tmax_zoo,Maximum temperature,,Maximum temperature for zooplankton temperature dependence,oC,,https://aed.see.uwa.edu.au/research/models/AED/aed_dbase/db_edit.php?table=aed_zooplankton
