module,group,parameter,label,symbol,description,units,default,source
glm_setup,,sim_name,Run name,,Title of simulation,string,lake,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,max_layers,Layers,N_MAX,Maximum number of layers,-,500,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,min_layer_vol,Min layer volume,Delta_V_min,Minimum layer volume,m3,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,min_layer_thick,Min layer thickness,Delta_z_min,Minimum thickness of a layer,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,max_layer_thick,Max layer thickness,Delta_z_max,Maximum thickness of a layer,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,density_model,Density model,Theta_rho,Switch to set the density equation,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
glm_setup,,non_avg,Non-averaged,Theta_bc,Switch to configure flow boundary condition temporal interpolation,-,.true.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,surface_mixing,Surface mixing,Theta_mix,Switch to select the options of the surface mixing model,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_mix_conv,Convective mixing,C_K,Mixing efficiency - convective overturn,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_wind_stir,Wind stirring,C_W,Mixing efficiency - wind stirring,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_mix_shear,Shear mixing,C_S,Mixing efficiency - shear production,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_mix_turb,Turbulence mixing,C_T,Mixing efficiency - unsteady turbulence effects,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_mix_KH,KH mixing,C_KH,Mixing efficiency - Kelvin-Helmholtz billowing,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,deep_mixing,Deep mixing,Theta_deep,Switch to select the options of the deep (hypolimnetic) mixing model,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,coef_mix_hyp,Hypolimnetic mixing,C_HYP,Mixing efficiency - hypolimnetic turbulence,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
mixing,,diff,Diffusivity,D_epsilon,Background (molecular) diffusivity in the hypolimnion,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,wq_lib,WQ library,Theta_wq,Water quality model selection,string,AED2,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,wq_nml_file,WQ config file,,Filename of WQ configuration file,string,./aed2.nml,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,bioshade_feedback,Bioshade feedback,Theta_kw,Switch to enable K_w to be updated by the WQ model,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,mobility_off,Mobility off,,Switch to enable settling within the WQ model,-,.false.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,ode_method,ODE method,Theta_ode,Method to use for ODE solution of water quality module,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,split_factor,Split factor,,Factor weighting implicit vs explicit numerical solution of the WQ model,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
wq_setup,,repair_state,Repair state,Theta_repair,Switch to correct negative or out of range WQ variables,-,.true.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,lake_name,Lake name,,Site name,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,latitude,Latitude,Lat,"Latitude, positive North",degN,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,longitude,Longitude,Long,"Longitude, positive East",degE,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,base_elev,Base elevation,H_0,Elevation of the bottom-most point of the lake,m above datum,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,crest_elev,Crest elevation,H_crest,"Elevation of a weir crest, where overflow begins",m above datum,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,bsn_len,Basin length,L_crest,"Length of the lake basin, at crest height",m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,bsn_wid,Basin width,W_crest,"Width of the lake basin, at crest height",m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,bsn_vals,Basin values,N_BSN,Number of points being provided to describe the hypsographic details,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,H,Elevations,H[b],Comma-separated list of lake elevations,m above datum,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
morphometry,,A,Areas,A[b],Comma-separated list of lake areas,m2,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,timefmt,Time format,Theta_time,Time configuration switch,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,start,Start,t_0,Start time/date of simulation,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,stop,Stop,t_N,End time/date of simulation,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,dt,Timestep,Delta_t,Time step,s,3600,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,num_days,Number of days,N_d,Number of days to simulate,days,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
time,,timezone,Timezone,TZ,UTC time zone,hours,+0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,out_dir,Output directory,,Directory to write the output files,string,./,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,out_fn,Output filename,,Filename of the main NetCDF output file,string,output,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,nsave,Save frequency,,Frequency to write to the NetCDF and CSV point files,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_lake_fname,Lake CSV filename,,Filename for the daily summary file,string,lake,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_nlevs,Point levels,,Number of specific level/depth csv files to be created,-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_fname,Point filename,,Name to be appended to specified depth CSV files,string,WQ_,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_frombot,Point from bottom,,Whether each output point is relative to the bottom or surface,-,.true.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_at,Point depths,,Height or Depth of points to output at (comma separated list),m,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_nvars,Point variables count,,Number of variables to output into the csv files,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_point_vars,Point variables,,Comma separated list of variable names,string,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_outlet_allinone,Outlet all-in-one,,Switch to create an optional outlet file combining all outlets,-,.false.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_outlet_fname,Outlet filename,,Name to be appended to each of the outlet CSV files,string,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_outlet_nvars,Outlet variables count,,Number of variables to be written into the outlet file(s),-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_outlet_vars,Outlet variables,,Comma separated list of variable names for outlet file(s),string,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
output,,csv_ovrflw_fname,Overflow filename,,Filename to be used for recording the overflow details,string,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,lake_depth,Lake depth,h_S_t0,Initial lake height/depth,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,num_depths,Number of depths,,Number of depths provided for initial profiles,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,the_depths,Depths,,The depths of the initial profile points (comma-separated list),m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,the_temps,Temperatures,T_t0_z,The temperature at each of the initial profile points,degC,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,the_sals,Salinities,S_t0_z,The salinity at each of the initial profile points,ppt,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,num_wq_vars,WQ variables count,,Number of non-GLM variables to be initialised,-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,wq_names,WQ names,,Names of non-GLM variables to be initialised,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
init_profiles,,wq_init_vals,WQ initial values,C_t0_z,Array of WQ variable initial data (rows=vars; cols=depths),-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,light_mode,Light mode,Theta_light,Switch to configure the approach to light penetration,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,Kw,Light extinction,K_w,Light extinction coefficient,m-1,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,Kw_file,Kw file,,Name of file with Kw time-series included,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,n_bands,Number of bands,N_SW,Number of light bandwidths to simulate,-,4,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,light_extc,Light extinction coefficients,K_w_l,Comma-separated list of light extinction coefficients for each waveband,m-1,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,energy_frac,Energy fractions,f_l,Comma-separated list of energy fraction captured by each waveband,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
light,,Benthic_Imin,Benthic min light,f_BEN_crit,Critical fraction of incident light reaching the benthos,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,AP,Atmospheric pressure,p,Atmospheric pressure,hPa,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,Oz,Ozone,Oz,Ozone concentration,atm-cm,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,WatVap,Water vapour,W,Total Precipitable water vapor,atm-cm,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,AOD500,AOD 500nm,AOD_500,Dimensionless Aerosol Optical Depth at wavelength 500 nm,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,AOD380,AOD 380nm,AOD_380,Dimensionless Aerosol Optical Depth at wavelength 380 nm,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
bird_model,,Albedo,Albedo,alpha_SW,Albedo of the surface used for Bird Model insolation calculation,-,0.2,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_heat_Ksoil,Soil conductivity,K_soil,Heat conductivity of soil/sediment,W/m/K,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_temp_depth,Sediment depth,delta_z_soil,Depth of soil/sediment layer below the lake bottom,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_temp_mean,Mean sediment temp,T_z_mean,Annual mean sediment temperature,degC,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_temp_amplitude,Sediment temp amplitude,delta_T_z,Amplitude of temperature variation in the sediment over one year,degC,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_temp_peak_doy,Sediment temp peak DOY,d_T_z,Day of the year where the sediment temperature peaks,day,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,benthic_mode,Benthic mode,Theta_benthic,Switch to configure which mode of benthic interaction to apply,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,n_zones,Number of zones,N_SZ,Number of sediment zones to simulate,-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,zone_heights,Zone heights,h_z,Upper height of zone boundary,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_reflectivity,Sediment reflectivity,alpha_sed,Sediment reflectivity,-,0,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
sediment,,sed_roughness,Sediment roughness,d_SS_z,Sediment roughness,m,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
snowice,,snow_albedo_factor,Snow albedo factor,f_alpha,Scaling factor to scale the snow/ice albedo estimate,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
snowice,,snow_rho_min,Min snow density,rho_s_min,Minimum snow density allowable,kg/m3,50,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
snowice,,snow_rho_max,Max snow density,rho_s_max,Maximum snow density allowable,kg/m3,300,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,met_config,met_sw,Met surface heating,Theta_met,Switch to enable the surface heating module,-,.true.,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,met_input,meteo_fl,Met file,,Filename of the meteorological file,string,-,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,met_input,subdaily,Subdaily,Theta_subdaily,Switch to indicate the met data is provided with sub-daily resolution,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,met_input,time_fmt,Time format,,Time format of the 1st column in the met file,string,YYYY-MM-DD hh:mm:ss,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,rad_mode,Radiation mode,Theta_rad,Switch to configure which incoming radiation option to use,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,albedo_mode,Albedo mode,Theta_alpha,Switch to configure which albedo calculation option is used,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,sw_factor,SW factor,f_SW,Scaling factor to adjust the shortwave radiation data,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,lw_type,LW type,Theta_lw,Switch to configure which input approach is used for longwave/cloud data,string,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,cloud_mode,Cloud mode,Theta_cloud,Switch to configure which atmospheric emissivity calculation option is used,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,radiation,lw_factor,LW factor,f_LW,Scaling factor to adjust the longwave (or cloud) data,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,sensible_latent,atm_stab,Atmospheric stability,Theta_atmstab,Switch to configure which approach to atmospheric stability is used,-,,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,sensible_latent,rh_factor,RH factor,f_RH,Scaling factor to adjust the relative humidity data,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,sensible_latent,at_factor,AT factor,f_AT,Scaling factor to adjust the air temperature data,-,1,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,sensible_latent,ce,Latent heat coef,C_E,Bulk aerodynamic transfer coefficient for latent heat flux,-,0.0013,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
meteorology,sensible_latent,ch,Sensible heat coef,C_H,Bulk aerodynamic transfer coefficient for sensible heat flux,-,0.0013,https://aquatic.science.uwa.edu.au/research/models/GLM/configuration.html
