name,dy_cd,glm_aed,gotm_wet,gotm_fabm,name_text,name_full,name_parse,units,conversion_aed,default,derived,derived_from,keywords
Date,Date,time,date,,Time,,,,1,,FALSE,NA,date|time
outflow,,,,,Outflow,Outflow_m3,Outflow~(m^3),m3,1,,FALSE,NA,outflow|discharge|flow
HYD_flow,VOL,flow,flow,,Discharge,Discharge_m3,Discharge~(m^3),m3,1,,FALSE,NA,flow|discharge|inflow
HYD_temp,TEMPTURE,temp,temp,,Water temperature,Water_temperature_degC,Temperature~(degree~C),degC,1,10,FALSE,NA,temperature|temp|water temp|HYD_temp
HYD_dens,DENSITY,rho,rho,,Water density,Density_g/cm3,Density~(g~cm^-3),g/cm3,1,,TRUE,HYD_temp,density|HYD_dens
HYD_thmcln,,,,,Thermocline depth,Thermocline_depth_m,Thermocline~depth~(m),m,1,,TRUE,HYD_temp,thermocline|depth|HYD_thmcln
HYD_schstb,,,,,Schmidt stability,Schmidt_stability_J/m2,Schmidt~stability~(J~m^2),J/m2,1,,TRUE,HYD_temp,stability|schmidt|HYD_schstb
HYD_ctrbuy,,,,,Centre of buoyancy,Centre_of_buoyancy_m,Centre~of~buoyancy~(m),m3,1,,TRUE,HYD_temp,buoyancy|center|HYD_ctrbuy
HYD_epidep,,,,,Epilimnion depth,Epilimnion_depth_m,Epilimnion~depth~(m),m3,1,,TRUE,HYD_temp,epilimnion|epi depth|HYD_epidep
HYD_hypdep,,,,,Hypolimnion depth,Hypolimnion_depth_m,Hypolimnion~depth~(m),m3,1,,TRUE,HYD_temp,hypolimnion|hyp depth|HYD_hypdep
HYD_surft,,,,,Remote sensed skin temperature,Remote_sensed_skin_temperature_degC,Remote~sensed~skin~temperature~(degree~C),degC,1,,FALSE,NA,surface temperature|skin temp|HYD_surft
HYD_atdiff,,,,,Water-air temperature difference,Water-air_temperature_difference_degC,Water-air~temperature~difference~(degree~C),degC,1,,FALSE,NA,air water temp difference|temp diff|HYD_atdiff
LKE_layers,,,,,Lake layer,Lake_layers_m,Lake~layers~(m),m,1,,FALSE,NA,lake layer|LKE_layers
LKE_depths,,,,,Lake depth,Lake_depth_m,Lake~depth~(m),m,1,,FALSE,NA,depth|lake depth|LKE_depths
LKE_evprte,,,,,Evaporation,Evaporation_m/day,Evaporation~(m~day^-1),m/day,1,,FALSE,NA,evaporation|evap|LKE_evprte
LKE_evpvol,dyresmEVAP_DAILY,evaporation,evap,,Evaporation,Evaporation_m3,Evaporation~(m^3),m3,1,,FALSE,NA,evaporation volume|evpvol|LKE_evpvol
LKE_evpflx,dyresmEVAP_DAILY,evap_mass_flux,evap,,Evaporation,Evaporation_flux_m/s,Evaporation~flux~(m^-1),m-1,1,,FALSE,NA,evaporation flux|flux|LKE_evpflx
