lake,lake_id,site_id,var_aeme,units,depth_from,depth_to,datetime,value,flag_detection
wainamu,45819,44616,PHY_cyano,mm^3/L,0,0,2019-08-07,0.031,NA
wainamu,45819,44616,CHM_salt,ppt,0,0,2019-08-07,0.11,NA
wainamu,45819,44616,RAD_secchi,m,0,0,2019-08-07,2.1,NA
wainamu,45819,44616,HYD_temp,degC,0,0,2019-08-07,11.85,NA
wainamu,45819,44616,CHM_salt,ppt,1,1,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,1,1,2019-08-07,11.8,NA
wainamu,45819,44616,CHM_salt,ppt,10,10,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,10,10,2019-08-07,11.72,NA
wainamu,45819,44616,CHM_salt,ppt,11,11,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,11,11,2019-08-07,11.71,NA
wainamu,45819,44616,CHM_salt,ppt,2,2,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,2,2,2019-08-07,11.8,NA
wainamu,45819,44616,PHY_tchla,ug/L,3,3,2019-08-07,8.2,NA
wainamu,45819,44616,CAR_doc,mg/L,3,3,2019-08-07,3.3,NA
wainamu,45819,44616,PHS_frp,mg/L,3,3,2019-08-07,0.001,NA
wainamu,45819,44616,NIT_amm,mg/L,3,3,2019-08-07,0.005,NA
wainamu,45819,44616,NIT_nit,mg/L,3,3,2019-08-07,0.002,NA
wainamu,45819,44616,CHM_salt,ppt,3,3,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,3,3,2019-08-07,11.79,NA
wainamu,45819,44616,NIT_tn,mg/L,3,3,2019-08-07,0.185,NA
wainamu,45819,44616,PHS_tp,mg/L,3,3,2019-08-07,0.008,NA
wainamu,45819,44616,CHM_salt,ppt,4,4,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,4,4,2019-08-07,11.75,NA
wainamu,45819,44616,CHM_salt,ppt,5,5,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,5,5,2019-08-07,11.74,NA
wainamu,45819,44616,CHM_salt,ppt,6,6,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,6,6,2019-08-07,11.74,NA
wainamu,45819,44616,CHM_salt,ppt,7,7,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,7,7,2019-08-07,11.72,NA
wainamu,45819,44616,PHS_frp,mg/L,8,8,2019-08-07,0.001,NA
wainamu,45819,44616,NIT_amm,mg/L,8,8,2019-08-07,0.005,NA
wainamu,45819,44616,NIT_nit,mg/L,8,8,2019-08-07,0.002,NA
wainamu,45819,44616,CHM_salt,ppt,8,8,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,8,8,2019-08-07,11.72,NA
wainamu,45819,44616,NIT_tn,mg/L,8,8,2019-08-07,0.19,NA
wainamu,45819,44616,PHS_tp,mg/L,8,8,2019-08-07,0.012,NA
wainamu,45819,44616,CHM_salt,ppt,9,9,2019-08-07,0.11,NA
wainamu,45819,44616,HYD_temp,degC,9,9,2019-08-07,11.72,NA
wainamu,45819,44616,RAD_secchi,m,0,0,2019-09-20,1.5,NA
wainamu,45819,44616,HYD_temp,degC,0,0,2019-09-20,15.2,NA
wainamu,45819,44616,HYD_temp,degC,1,1,2019-09-20,14.85,NA
wainamu,45819,44616,HYD_temp,degC,10,10,2019-09-20,13.79,NA
wainamu,45819,44616,HYD_temp,degC,11,11,2019-09-20,13.7,NA
wainamu,45819,44616,HYD_temp,degC,2,2,2019-09-20,14.61,NA
wainamu,45819,44616,PHY_tchla,ug/L,3,3,2019-09-20,4.8,NA
wainamu,45819,44616,CAR_doc,mg/L,3,3,2019-09-20,4.1,NA
wainamu,45819,44616,PHS_frp,mg/L,3,3,2019-09-20,0.001,NA
wainamu,45819,44616,NIT_amm,mg/L,3,3,2019-09-20,0.005,NA
wainamu,45819,44616,NIT_nit,mg/L,3,3,2019-09-20,0.001,NA
wainamu,45819,44616,HYD_temp,degC,3,3,2019-09-20,14.51,NA
wainamu,45819,44616,NIT_tn,mg/L,3,3,2019-09-20,0.24,NA
wainamu,45819,44616,PHS_tp,mg/L,3,3,2019-09-20,0.016,NA
wainamu,45819,44616,HYD_temp,degC,4,4,2019-09-20,14.42,NA
wainamu,45819,44616,HYD_temp,degC,5,5,2019-09-20,14.35,NA
wainamu,45819,44616,HYD_temp,degC,6,6,2019-09-20,14.27,NA
wainamu,45819,44616,HYD_temp,degC,7,7,2019-09-20,14.17,NA
wainamu,45819,44616,HYD_temp,degC,8,8,2019-09-20,14.06,NA
wainamu,45819,44616,PHS_frp,mg/L,9,9,2019-09-20,0.002,NA
wainamu,45819,44616,NIT_amm,mg/L,9,9,2019-09-20,0.005,NA
wainamu,45819,44616,NIT_nit,mg/L,9,9,2019-09-20,0.003,NA
wainamu,45819,44616,HYD_temp,degC,9,9,2019-09-20,13.93,NA
wainamu,45819,44616,NIT_tn,mg/L,9,9,2019-09-20,0.25,NA
wainamu,45819,44616,PHS_tp,mg/L,9,9,2019-09-20,0.018,NA
wainamu,45819,44616,PHY_cyano,mm^3/L,0,0,2019-10-29,0.004,NA
wainamu,45819,44616,CHM_oxy,mg/L,0,0,2019-10-29,11.41,NA
wainamu,45819,44616,CHM_salt,ppt,0,0,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,0,0,2019-10-29,17.16,NA
wainamu,45819,44616,CHM_oxy,mg/L,1,1,2019-10-29,10.46,NA
wainamu,45819,44616,CHM_salt,ppt,1,1,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,1,1,2019-10-29,16.47,NA
wainamu,45819,44616,CHM_oxy,mg/L,10,10,2019-10-29,8.19,NA
wainamu,45819,44616,CHM_salt,ppt,10,10,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,10,10,2019-10-29,14.96,NA
wainamu,45819,44616,CHM_oxy,mg/L,11,11,2019-10-29,7.62,NA
wainamu,45819,44616,CHM_salt,ppt,11,11,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,11,11,2019-10-29,14.93,NA
wainamu,45819,44616,CHM_oxy,mg/L,2,2,2019-10-29,9.84,NA
wainamu,45819,44616,CHM_salt,ppt,2,2,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,2,2,2019-10-29,16.23,NA
wainamu,45819,44616,PHY_tchla,ug/L,3,3,2019-10-29,12.3,NA
wainamu,45819,44616,CHM_oxy,mg/L,3,3,2019-10-29,9.41,NA
wainamu,45819,44616,CAR_doc,mg/L,3,3,2019-10-29,4.2,NA
wainamu,45819,44616,PHS_frp,mg/L,3,3,2019-10-29,0.002,NA
wainamu,45819,44616,NIT_amm,mg/L,3,3,2019-10-29,0.005,NA
wainamu,45819,44616,NIT_nit,mg/L,3,3,2019-10-29,0.002,NA
wainamu,45819,44616,CHM_salt,ppt,3,3,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,3,3,2019-10-29,15.65,NA
wainamu,45819,44616,NIT_tn,mg/L,3,3,2019-10-29,0.27,NA
wainamu,45819,44616,PHS_tp,mg/L,3,3,2019-10-29,0.018,NA
wainamu,45819,44616,CHM_oxy,mg/L,4,4,2019-10-29,9.37,NA
wainamu,45819,44616,CHM_salt,ppt,4,4,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,4,4,2019-10-29,15.62,NA
wainamu,45819,44616,CHM_oxy,mg/L,5,5,2019-10-29,9.07,NA
wainamu,45819,44616,CHM_salt,ppt,5,5,2019-10-29,0.1,NA
wainamu,45819,44616,HYD_temp,degC,5,5,2019-10-29,15.4,NA
wainamu,45819,44616,CHM_oxy,mg/L,6,6,2019-10-29,8.82,NA
