Date,MET_radswd,MET_cldcvr,MET_tmpair,MET_humrel,MET_tmpdew,MET_prvapr,MET_prsttn,MET_prmslp,MET_wndspd,MET_wnduvu,MET_wnduvv,MET_pprain,MET_ppsnow
2019-12-31,352.33,0.0357338,17.837,72.9054,14.189,14.8981,1001.07,1003.85,5.2125,2.33978,0.169422,0,0
2020-01-01,304.488,0.105082,18.7451,65.4773,13.5438,14.1647,999.312,1002.08,8.5875,2.23542,-2.08464,0,0
2020-01-02,290.154,0.129425,20.3882,74.8409,17.4814,17.9302,995.324,998.066,10.8125,5.56827,-3.75278,0,0
2020-01-03,147.208,0.479191,21.0003,74.4592,18.1023,18.524,993.96,996.692,9.6875,3.96914,-3.99783,0,0
2020-01-04,361.046,0.023389,18.2096,67.4404,13.4035,14.108,996.489,999.254,8.2125,4.20326,2.92893,0,0
2020-01-05,346.519,0.0405559,17.5377,64.0813,11.8832,12.8502,998.652,1001.43,7.1125,1.29696,0.888571,0,0
2020-01-06,328.699,0.0642542,20.0868,63.638,14.5995,14.9649,994.042,996.783,9.3875,4.51753,-1.22354,0.000615789,0
2020-01-07,277.564,0.149275,16.7287,67.0403,11.6818,12.7723,994.647,997.421,9.3125,5.69955,1.64644,0.00223459,0
2020-01-08,350.393,0.0336691,16.2859,64.1703,10.5398,11.8859,1001.07,1003.87,7.05,1.95976,2.91955,0.000201678,0
2020-01-09,205.51,0.308839,17.5833,59.9976,10.9377,12.0659,1005.03,1007.83,6.1125,2.82287,3.14118,0,0
2020-01-10,207.253,0.303356,17.5517,65.0997,12.138,13.0659,1004.14,1006.93,7.3125,3.15855,1.6417,0.00163493,0
2020-01-11,257.807,0.184983,18.2285,60.4331,11.7509,12.6572,1000.68,1003.46,10.725,5.48763,-0.195215,0,0
2020-01-12,256.451,0.18676,17.7549,62.3937,11.7164,12.6843,1000.97,1003.75,11.175,4.9903,3.3456,0.00101646,0
2020-01-13,258.001,0.182423,17.1819,58.8118,10.2027,11.5313,1006.37,1009.17,7.875,2.46845,5.91101,0,0
2020-01-14,135.586,0.507058,17.6621,60.0616,11.0395,12.139,1008.4,1011.2,8.8,3.19607,2.48272,0,0
2020-01-15,269.235,0.157301,18.5907,67.4428,13.8273,14.4497,999.51,1002.28,13.925,7.37748,2.6357,0.0030655,0
2020-01-16,333.736,0.0482235,16.8251,57.8554,9.573,11.0901,998.326,1001.11,10.6625,4.86182,5.84104,0,0
2020-01-17,295.965,0.105393,17.4425,56.3172,9.8361,11.2256,1003.7,1006.49,5.15,1.08338,0.77502,0,0
2020-01-18,134.424,0.506666,19.4769,65.2673,14.309,14.7783,999.289,1002.05,6.175,-0.254356,-0.728113,0.00285307,0
2020-01-19,153.793,0.445023,19.5043,80.4114,17.6075,18.2384,984.2,986.919,10.5375,-4.40427,-2.45435,0.0120065,0
2020-01-20,228.559,0.238459,18.2774,72.8042,14.6597,15.295,993.157,995.913,12.05,6.13238,2.80591,0.000615789,0
2020-01-21,299.839,0.0934302,18.7278,68.0601,14.1205,14.7075,999.342,1002.11,12.7125,6.56592,0.372123,0.00183661,0
2020-01-22,270.01,0.146067,17.2242,53.9755,8.96973,10.6114,1004.25,1007.05,9.825,4.98317,4.75466,0,0
2020-01-23,339.934,0.0316088,17.3744,65.5955,12.0587,13.0189,1007.09,1009.89,7.8,-0.0556874,1.87774,0,0
2020-01-24,137.717,0.488702,19.9016,65.9997,14.9574,15.3433,1003.81,1006.58,8.8,-4.30064,-4.86587,0,0
2020-01-25,293.447,0.0981426,17.8095,72.2582,14.0207,14.7403,1001.86,1004.64,10.2125,1.73279,2.54239,0.019119,0
2020-01-26,354.655,0.0102141,16.2925,58.3868,9.13694,10.8192,1002.37,1005.17,9.2,1.01239,5.99606,0,0
2020-01-27,362.209,0.000947369,16.9063,64.26,11.2353,12.3814,1004.94,1007.74,6.4875,0.67087,4.81339,0,0
2020-01-28,293.253,0.0933645,18.1826,66.9836,13.2693,13.9887,1003.59,1006.38,7.2125,2.18681,4.2544,0,0
2020-01-29,319.596,0.0501862,18.0062,69.1455,13.5614,14.281,999.385,1002.16,5.925,0.0443877,3.92565,0,0
2020-01-30,351.362,0.00835089,19.143,58.6102,12.2888,12.998,994.787,997.539,5.875,-1.83812,3.64428,0,0
2020-01-31,355.042,0.00296651,18.8788,56.8607,11.5394,12.4039,996.166,998.924,5.7,-0.66728,3.58472,0,0
2020-02-01,288.024,0.0949074,19.3131,60.1347,12.8679,13.4782,1006.34,1009.12,4.725,-0.101066,-0.0667531,0,0
2020-02-02,157.086,0.412297,19.7805,63.6444,14.2587,14.6851,1009.27,1012.06,3.625,0.264205,-1.3607,0,0
2020-02-03,147.014,0.442308,19.3407,67.3552,14.6442,15.1224,1003.89,1006.67,3.4125,0.941076,0.255433,0,0
2020-02-04,179.942,0.338582,20.2142,60.8344,14.0451,14.4188,1001.15,1003.91,8.225,-2.22934,-1.09872,0,0
2020-02-05,107.307,0.572731,19.4761,65.5672,14.379,14.8455,1002.81,1005.58,11.9375,-8.91935,-2.24905,0.000383582,0
2020-02-06,284.731,0.0901956,19.8971,80.3411,18.0443,18.6721,999.771,1002.53,11,-2.17066,-2.56891,0.00903694,0
2020-02-07,299.839,0.0628228,19.7316,71.6335,16.044,16.4784,998.105,1000.86,9.1,3.73529,4.84878,7.9955e-05,0
2020-02-08,288.217,0.079682,20.0536,66.4145,15.2256,15.5857,997.035,999.784,7.25,0.131597,4.90724,0,0
2020-02-09,230.303,0.194152,18.9467,68.42,14.4464,14.9889,995.585,998.341,6.5,1.7328,4.34296,0,0
2020-02-10,258.001,0.131172,18.6218,68.9809,14.2098,14.808,995.382,998.14,8.1875,3.38231,0.438088,0.00153028,0
2020-02-11,244.249,0.157492,17.7935,61.1053,11.4428,12.4526,995.639,998.406,10.1375,5.41011,1.86543,0.00114771,0
2020-02-12,242.118,0.159492,17.8293,67.2633,12.9423,13.7385,995.332,998.098,9.45,5.62568,1.50556,0.000231768,0
2020-02-13,209.965,0.233256,17.5852,67.0222,12.6181,13.4803,998.194,1000.97,6.2,3.17592,2.20434,7.59067e-05,0
2020-02-14,321.339,0.0170433,18.0763,64.181,12.4984,13.3142,1003.63,1006.42,4.95,0.360484,2.97522,0,0
2020-02-15,292.672,0.0555806,19.9604,62.9131,14.2809,14.6791,1006.28,1009.06,7.1,-3.3862,-1.2807,0,0
2020-02-16,293.834,0.051236,20.8322,68.4834,16.586,16.8621,1005.26,1008.02,8.9875,-5.17309,-2.31135,0,0
2020-02-17,116.798,0.514845,21.2135,71.332,17.6651,17.9797,1003.34,1006.1,8.5875,-5.10324,-1.15384,0,0
2020-02-18,154.956,0.380235,20.6807,73.3602,17.4995,17.8953,1002.88,1005.64,7.9125,-5.53676,0.569896,0.000155862,0
2020-02-19,309.717,0.0208057,21.5467,68.1638,17.3265,17.5354,1001.8,1004.55,7.9875,-5.03589,-0.158377,0,0
