"ID","Name","Area","Region","Geomorphic type","Depth","Depth measurement","Data","aeme_file"
"LID 1","Onoke",622.34,"Wellington","Shoreline",8.72,"Measured","Minimal Data","LID1"
"LID 3","Kohangapiripiri",10.82,"Wellington","Shoreline",14.43,"Predicted","No data","LID3"
"LID 4","Kohangatera",21.31,"Wellington","Shoreline",14.8,"Predicted","No data","LID4"
"LID 119","LID 119",41.87,"Wellington","Riverine",3.55,"Predicted","No data","LID119"
"LID 195","Nganoke",3.1,"Wellington","Riverine",3.74,"Predicted","No data","LID195"
"LID 229","Pounui",45.95,"Wellington","Tectonic",NA,"Predicted","No data","LID229"
"LID 299","LID 299",9.17,"Wellington","Riverine",5.33,"Predicted","No data","LID299"
"LID 300","LID 300",6.58,"Wellington","Riverine",3.21,"Predicted","No data","LID300"
"LID 301","LID 301",10.59,"Wellington","Riverine",9.62,"Predicted","No data","LID301"
"LID 381","Henley Lake",12.27,"Wellington","Riverine",4.28,"Predicted","No data","LID381"
"LID 476","Tokomaru No 3 Reservoir",9.54,"Manawatū-Whanganui","Dam",19.82,"Predicted","No data","LID476"
"LID 505","LID 505",6.99,"Wellington","Riverine",3.42,"Predicted","No data","LID505"
"LID 507","LID 507",10.7,"Wellington","Riverine",3.58,"Predicted","No data","LID507"
"LID 511","LID 511",37.34,"Wellington","Riverine",4.57,"Predicted","No data","LID511"
"LID 512","LID 512",5.33,"Wellington","Riverine",3.59,"Predicted","No data","LID512"
"LID 515","Boggy Pond Lagoon",58.23,"Wellington","Riverine",5.08,"Predicted","No data","LID515"
"LID 831","Waitawa",15.78,"Wellington","Aeolian",7.62,"Predicted","No data","LID831"
"LID 841","Waiorongomai",5.85,"Wellington","Aeolian",4.34,"Predicted","No data","LID841"
"LID 843","Huritini",2.58,"Manawatū-Whanganui","Aeolian",4.71,"Predicted","No data","LID843"
"LID 847","Kopureherehere",6.91,"Wellington","Aeolian",5.6,"Predicted","No data","LID847"
"LID 869","LID 869",5.31,"Manawatū-Whanganui","Aeolian",4.15,"Predicted","No data","LID869"
"LID 1553","Lake Onslow",1159.45,"Otago","Dam",29.53,"Predicted","Minimal Data","LID1553"
"LID 1708","Wairarapa",7737.38,"Wellington","Riverine",2.73,"Measured","Minimal Data","LID1708"
"LID 1717","LID 1717",5.15,"Wellington","Riverine",7.93,"Predicted","No data","LID1717"
"LID 1721","LID 1721",5.05,"Wellington","Riverine",4.4,"Predicted","No data","LID1721"
"LID 1726","LID 1726",9.98,"Wellington","Riverine",4.02,"Predicted","No data","LID1726"
"LID 1731","LID 1731",12.08,"Wellington","Riverine",3.68,"Predicted","No data","LID1731"
"LID 1742","LID 1742",11.73,"Wellington","Riverine",2.8,"Predicted","No data","LID1742"
"LID 1744","LID 1744",6.18,"Wellington","Dam",4.05,"Predicted","No data","LID1744"
"LID 1974","Papaitonga",51.49,"Manawatū-Whanganui","Aeolian",4.48,"Predicted","Minimal Data","LID1974"
"LID 2549","Kourarau Dam",6.74,"Wellington","Dam",6.91,"Predicted","No data","LID2549"
"LID 4278","Okupe",7.8,"Wellington","Shoreline",NA,"Predicted","No data","LID4278"
"LID 4342","Mangahao Upper No 1 Reservior",19.53,"Manawatū-Whanganui","Dam",NA,"Predicted","No data","LID4342"
"LID 4343","Mangahao Lower No 2 Reservoir",11.15,"Manawatū-Whanganui","Dam",46.19,"Predicted","No data","LID4343"
"LID 4345","Horowhenua",304.09,"Manawatū-Whanganui","Aeolian",1.99,"Measured","Limited and Irregular","LID4345"
"LID 4380","LID 4380",9.98,"Manawatū-Whanganui","Aeolian",4.34,"Predicted","No data","LID4380"
"LID 4443","LID 4443",7.23,"Manawatū-Whanganui","Dam",4.94,"Predicted","No data","LID4443"
