time,flow,salt,temp
2019-07-01,0.38482,0,10.13819
2019-07-02,0.28996,0,10.15899
2019-07-03,0.23242,0,10.18122
2019-07-04,0.2061,0,10.20488
2019-07-05,0.15955,0,10.22996
2019-07-06,0.15341,0,10.25645
2019-07-07,0.18052,0,10.28434
2019-07-08,0.19322,0,10.31363
2019-07-09,0.16454,0,10.3443
2019-07-10,0.41908,0,10.37636
2019-07-11,0.41603,0,10.40978
2019-07-12,0.23088,0,10.44456
2019-07-13,0.17126,0,10.48068
2019-07-14,0.1493,0,10.51815
2019-07-15,0.13862,0,10.55694
2019-07-16,0.13136,0,10.59704
2019-07-17,0.12521,0,10.63845
2019-07-18,0.15653,0,10.68115
2019-07-19,0.29235,0,10.72513
2019-07-20,0.33558,0,10.77037
2019-07-21,0.20652,0,10.81687
2019-07-22,0.15599,0,10.8646
2019-07-23,0.15692,0,10.91355
2019-07-24,0.18593,0,10.96372
2019-07-25,0.14755,0,11.01508
2019-07-26,0.1315,0,11.06761
2019-07-27,0.12291,0,11.12132
2019-07-28,0.19737,0,11.17617
2019-07-29,0.17094,0,11.23215
2019-07-30,0.12939,0,11.28924
2019-07-31,0.11385,0,11.34744
2019-08-01,0.22592,0,11.40671
2019-08-02,0.3674,0,11.46705
2019-08-03,0.20853,0,11.52843
2019-08-04,0.1586,0,11.59085
2019-08-05,0.14449,0,11.65427
2019-08-06,0.13238,0,11.71868
2019-08-07,0.1428,0,11.78406
2019-08-08,0.12064,0,11.85039
2019-08-09,0.10929,0,11.91765
2019-08-10,0.17674,0,11.98583
2019-08-11,0.20848,0,12.0549
2019-08-12,0.19692,0,12.12484
2019-08-13,0.20928,0,12.19563
2019-08-14,0.15096,0,12.26725
2019-08-15,0.1212,0,12.33968
2019-08-16,0.10927,0,12.4129
2019-08-17,0.10273,0,12.48688
2019-08-18,0.40203,0,12.56161
2019-08-19,0.29828,0,12.63705
2019-08-20,0.18402,0,12.7132
2019-08-21,0.13052,0,12.79002
2019-08-22,0.11156,0,12.8675
2019-08-23,0.10247,0,12.94561
2019-08-24,0.09632,0,13.02433
2019-08-25,0.09117,0,13.10363
2019-08-26,0.08645,0,13.18349
2019-08-27,0.08199,0,13.26389
2019-08-28,0.07785,0,13.3448
2019-08-29,0.167,0,13.42621
2019-08-30,0.9359,0,13.50808
2019-08-31,1.15925,0,13.59039
2019-09-01,0.45756,0,13.67311
2019-09-02,0.23347,0,13.75623
2019-09-03,0.38662,0,13.83972
2019-09-04,0.4154,0,13.92355
2019-09-05,0.25622,0,14.00771
2019-09-06,0.17606,0,14.09215
2019-09-07,0.14697,0,14.17686
2019-09-08,0.13374,0,14.26182
2019-09-09,0.12523,0,14.34699
2019-09-10,0.11844,0,14.43236
2019-09-11,0.18879,0,14.5179
2019-09-12,0.40803,0,14.60357
2019-09-13,0.30196,0,14.68937
2019-09-14,0.46672,0,14.77526
2019-09-15,0.31856,0,14.86121
2019-09-16,0.19323,0,14.94721
2019-09-17,0.34946,0,15.03322
2019-09-18,0.31109,0,15.11922
2019-09-19,0.56687,0,15.20518
2019-09-20,0.5988,0,15.29109
2019-09-21,0.47408,0,15.37691
2019-09-22,0.24618,0,15.46262
2019-09-23,0.17361,0,15.54819
2019-09-24,0.14666,0,15.63359
2019-09-25,0.13372,0,15.71881
2019-09-26,0.12534,0,15.80382
2019-09-27,0.13749,0,15.88859
2019-09-28,0.13862,0,15.9731
2019-09-29,0.11836,0,16.05732
2019-09-30,0.10837,0,16.14123
2019-10-01,0.10981,0,16.22479
2019-10-02,0.1292,0,16.308
2019-10-03,0.1066,0,16.39082
2019-10-04,0.1007,0,16.47323
2019-10-05,0.09202,0,16.5552
2019-10-06,0.08622,0,16.63671
2019-10-07,0.08609,0,16.71774
2019-10-08,0.07878,0,16.79826
2019-10-09,0.07421,0,16.87824
2019-10-10,0.0703,0,16.95767
2019-10-11,0.06669,0,17.03653
2019-10-12,0.06329,0,17.11477
2019-10-13,0.06007,0,17.1924
2019-10-14,0.05706,0,17.26937
2019-10-15,0.05416,0,17.34567
2019-10-16,0.05157,0,17.42128
2019-10-17,0.20097,0,17.49618
2019-10-18,0.1091,0,17.57033
2019-10-19,0.07507,0,17.64372
2019-10-20,0.06271,0,17.71633
2019-10-21,0.0569,0,17.78814
2019-10-22,0.05327,0,17.85912
2019-10-23,0.05027,0,17.92926
2019-10-24,0.04765,0,17.99853
2019-10-25,0.04522,0,18.06691
2019-10-26,0.31145,0,18.13438
2019-10-27,0.62285,0,18.20093
2019-10-28,0.43755,0,18.26653
2019-10-29,0.19498,0,18.33116
2019-10-30,0.11912,0,18.39481
2019-10-31,0.09305,0,18.45745
2019-11-01,0.12122,0,18.51907
2019-11-02,0.10964,0,18.57965
2019-11-03,0.08517,0,18.63917
2019-11-04,0.07513,0,18.69761
2019-11-05,0.0696,0,18.75495
2019-11-06,0.06552,0,18.81119
2019-11-07,0.06203,0,18.8663
2019-11-08,0.05881,0,18.92026
2019-11-09,0.0558,0,18.97307
2019-11-10,0.08755,0,19.0247
2019-11-11,0.08152,0,19.07514
2019-11-12,0.07465,0,19.12437
2019-11-13,0.06155,0,19.17238
2019-11-14,0.12414,0,19.21916
2019-11-15,0.09051,0,19.26468
2019-11-16,0.08761,0,19.30895
2019-11-17,0.06631,0,19.35194
2019-11-18,0.05844,0,19.39365
2019-11-19,0.05413,0,19.43405
2019-11-20,0.051,0,19.47314
2019-11-21,0.05678,0,19.51091
2019-11-22,0.04918,0,19.54734
2019-11-23,0.0465,0,19.58243
2019-11-24,0.04399,0,19.61616
2019-11-25,0.04165,0,19.64852
2019-11-26,0.05775,0,19.67951
2019-11-27,0.04992,0,19.70912
2019-11-28,0.04221,0,19.73733
2019-11-29,0.03945,0,19.76414
2019-11-30,0.03713,0,19.78954
2019-12-01,0.03517,0,19.81352
2019-12-02,0.03339,0,19.83608
2019-12-03,0.03166,0,19.8572
2019-12-04,0.03007,0,19.87689
2019-12-05,0.02852,0,19.89514
2019-12-06,0.02726,0,19.91194
2019-12-07,0.0258,0,19.92728
2019-12-08,0.02441,0,19.94117
2019-12-09,0.05348,0,19.95359
2019-12-10,0.03118,0,19.96455
2019-12-11,0.02929,0,19.97404
2019-12-12,0.53194,0,19.98206
2019-12-13,0.45711,0,19.9886
2019-12-14,0.18296,0,19.99367
2019-12-15,0.12148,0,19.99725
2019-12-16,0.27908,0,19.99937
2019-12-17,0.1186,0,20
2019-12-18,0.08529,0,19.99915
2019-12-19,0.07578,0,19.99682
2019-12-20,0.06699,0,19.99301
2019-12-21,0.06274,0,19.98773
2019-12-22,0.05929,0,19.98097
2019-12-23,0.05616,0,19.97273
2019-12-24,0.05322,0,19.96303
2019-12-25,0.05049,0,19.95185
2019-12-26,0.04795,0,19.93921
2019-12-27,0.04546,0,19.92511
2019-12-28,0.04314,0,19.90956
2019-12-29,0.04098,0,19.89254
2019-12-30,0.03895,0,19.87408
2019-12-31,0.03687,0,19.84898
2020-01-01,0.03502,0,19.82728
2020-01-02,0.03321,0,19.80416
2020-01-03,0.03154,0,19.77961
2020-01-04,0.02991,0,19.75365
2020-01-05,0.02839,0,19.72628
2020-01-06,0.02695,0,19.69751
2020-01-07,0.0256,0,19.66736
2020-01-08,0.02426,0,19.63582
2020-01-09,0.02301,0,19.60291
2020-01-10,0.02188,0,19.56864
2020-01-11,0.02075,0,19.53302
2020-01-12,0.01972,0,19.49605
2020-01-13,0.01872,0,19.45776
2020-01-14,0.0178,0,19.41814
2020-01-15,0.01692,0,19.37722
2020-01-16,0.01608,0,19.335
2020-01-17,0.01523,0,19.2915
2020-01-18,0.01446,0,19.24673
2020-01-19,0.01373,0,19.20071
2020-01-20,0.01305,0,19.15344
2020-01-21,0.01239,0,19.10494
2020-01-22,0.01176,0,19.05523
2020-01-23,0.01117,0,19.00431
2020-01-24,0.01062,0,18.95222
2020-01-25,0.0101,0,18.89895
2020-01-26,0.00959,0,18.84453
2020-01-27,0.00913,0,18.78897
2020-01-28,0.00865,0,18.73229
2020-01-29,0.00826,0,18.6745
2020-01-30,0.00784,0,18.61563
2020-01-31,0.02675,0,18.55569
2020-02-01,0.02639,0,18.4947
2020-02-02,0.01187,0,18.43267
2020-02-03,0.04665,0,18.36962
2020-02-04,0.01819,0,18.30558
2020-02-05,0.01665,0,18.24056
2020-02-06,0.01572,0,18.17459
2020-02-07,0.01486,0,18.10767
2020-02-08,0.01408,0,18.03983
2020-02-09,0.01334,0,17.97109
2020-02-10,0.01268,0,17.90148
2020-02-11,0.01201,0,17.831
2020-02-12,0.01141,0,17.75969
2020-02-13,0.01083,0,17.68756
2020-02-14,0.01028,0,17.61464
2020-02-15,0.00974,0,17.54094
2020-02-16,0.00924,0,17.46649
2020-02-17,0.00877,0,17.39131
2020-02-18,0.00834,0,17.31542
2020-02-19,0.00792,0,17.23885
2020-02-20,0.01241,0,17.16161
2020-02-21,0.00773,0,17.08374
2020-02-22,0.00733,0,17.00525
2020-02-23,0.00694,0,16.92616
2020-02-24,0.00659,0,16.84651
2020-02-25,0.00625,0,16.76631
2020-02-26,0.00593,0,16.68558
2020-02-27,0.00563,0,16.60436
2020-02-28,0.00534,0,16.52266
2020-02-29,0.00508,0,16.44052
2020-03-01,0.00483,0,16.35794
2020-03-02,0.00458,0,16.27497
2020-03-03,0.00435,0,16.19161
2020-03-04,0.00413,0,16.10791
2020-03-05,0.00395,0,16.02387
2020-03-06,0.00373,0,15.93954
2020-03-07,0.00353,0,15.85492
2020-03-08,0.00336,0,15.77005
2020-03-09,0.00319,0,15.68496
2020-03-10,0.00962,0,15.59966
2020-03-11,0.00345,0,15.51419
2020-03-12,0.00328,0,15.42856
2020-03-13,0.07439,0,15.3428
2020-03-14,0.01283,0,15.25695
2020-03-15,0.01169,0,15.17101
2020-03-16,0.01087,0,15.08503
2020-03-17,0.01026,0,14.99902
2020-03-18,0.00971,0,14.91302
2020-03-19,0.00919,0,14.82703
2020-03-20,0.00872,0,14.7411
2020-03-21,0.02706,0,14.65525
2020-03-22,0.01106,0,14.5695
2020-03-23,0.00981,0,14.48387
2020-03-24,0.0479,0,14.3984
2020-03-25,0.01465,0,14.31311
2020-03-26,0.04366,0,14.22802
2020-03-27,0.02513,0,14.14315
2020-03-28,0.01701,0,14.05854
2020-03-29,0.01493,0,13.97421
2020-03-30,0.01379,0,13.89019
2020-03-31,0.01296,0,13.80649
2020-04-01,0.01225,0,13.72314
2020-04-02,0.01164,0,13.64018
2020-04-03,0.011,0,13.55761
2020-04-04,0.01042,0,13.47548
2020-04-05,0.00988,0,13.39379
2020-04-06,0.00938,0,13.31258
2020-04-07,0.00888,0,13.23186
2020-04-08,0.03018,0,13.15168
2020-04-09,0.01039,0,13.07203
2020-04-10,0.04101,0,12.99296
2020-04-11,0.09071,0,12.91448
2020-04-12,0.04705,0,12.83662
2020-04-13,0.0313,0,12.7594
2020-04-14,0.02387,0,12.68285
2020-04-15,0.04188,0,12.60698
2020-04-16,0.03854,0,12.53181
2020-04-17,0.0264,0,12.45738
2020-04-18,0.02271,0,12.3837
2020-04-19,0.02096,0,12.31079
2020-04-20,0.01976,0,12.23868
2020-04-21,0.0187,0,12.16739
2020-04-22,0.01773,0,12.09693
2020-04-23,0.01681,0,12.02734
2020-04-24,0.04943,0,11.95862
2020-04-25,0.06351,0,11.8908
2020-04-26,0.0741,0,11.82391
2020-04-27,0.05924,0,11.75795
2020-04-28,0.04302,0,11.69295
2020-04-29,0.03257,0,11.62893
2020-04-30,0.0292,0,11.56591
2020-05-01,0.02743,0,11.50391
2020-05-02,0.02605,0,11.44294
2020-05-03,0.02475,0,11.38302
2020-05-04,0.02352,0,11.32417
2020-05-05,0.10402,0,11.26641
2020-05-06,0.10889,0,11.20976
2020-05-07,0.05899,0,11.15422
2020-05-08,0.0459,0,11.09983
2020-05-09,0.04886,0,11.04659
2020-05-10,0.09406,0,10.99452
2020-05-11,0.05289,0,10.94363
2020-05-12,0.20968,0,10.89394
2020-05-13,0.19376,0,10.84547
2020-05-14,0.09922,0,10.79823
2020-05-15,0.0798,0,10.75223
2020-05-16,0.06264,0,10.70749
2020-05-17,0.05679,0,10.66402
2020-05-18,0.05359,0,10.62184
2020-05-19,0.09947,0,10.58094
2020-05-20,0.11359,0,10.54136
2020-05-21,0.75765,0,10.50309
2020-05-22,0.39744,0,10.46616
2020-05-23,0.25645,0,10.43057
2020-05-24,0.19992,0,10.39633
2020-05-25,0.13461,0,10.36345
2020-05-26,0.11309,0,10.33194
2020-05-27,0.1037,0,10.30182
2020-05-28,0.11527,0,10.27308
2020-05-29,0.12518,0,10.24575
2020-05-30,0.12705,0,10.21982
2020-05-31,0.13625,0,10.1953
2020-06-01,0.7863,0,10.17221
2020-06-02,0.40216,0,10.15055
2020-06-03,0.25967,0,10.13032
2020-06-04,0.17878,0,10.11153
2020-06-05,0.14607,0,10.09419
2020-06-06,0.13087,0,10.0783
